"genus_species","iucn_authority","iucn_category"
"Sicyopterus stimpsoni","(Gill, 1860)","2"
"Epinephelides armatus","(Castelnau, 1875)","2"
"Choerodon schoenleinii","(Valenciennes, 1839)","2"
"Acipenser medirostris","Ayres, 1854","2"
"Cynoglossus canariensis","Steindachner, 1882","2"
"Cynoglossus monodi","Chabanaud, 1949","2"
"Cynoglossus senegalensis","(Kaup, 1858)","2"
"Heteromycteris capensis","Kaup, 1858","2"
"Merluccius bilinearis","(Mitchill, 1814)","2"
"Hippocampus reidi","Ginsburg, 1933","2"
"Scarus guacamaia","Cuvier, 1829","2"
"Scarus hypselopterus","Bleeker, 1853","2"
"Chlorurus bowersi","(Snyder, 1909)","2"
"Salmo coruhensis","Turan, Kottelat &amp; Engin, 2010","2"
"Galeoides decadactylus","(Bloch, 1795)","2"
"Deania profundorum","(Smith &amp; Radcliffe, 1912)","2"
"Hyporthodus nigritus","(Holbrook, 1855)","2"
"Mycteroperca venenosa","(Linnaeus, 1758)","2"
"Mycteroperca bonaci","(Poey, 1860)","2"
"Paralichthys lethostigma","Jordan & Gilbert, 1884","2"
"Archosargus pourtalesii","(Steindachner, 1881)","2"
"Lupinoblennius vinctus","(Poey, 1867)","2"
"Dipturus oxyrinchus","(Linnaeus, 1758)","2"
"Raja asterias","Delaroche, 1809","2"
"Dipturus nidarosiensis","(Storm, 1881)","2"
"Protonibea diacanthus","(Lacepède, 1802)","2"
"Calamus taurinus","(Jenyns, 1840)","2"
"Trachurus japonicus","(Temminck &amp; Schlegel, 1844)","2"
"Gobiodon ceramensis","(Bleeker, 1853)","2"
"Centroselachus crepidater","(Barbosa du Bocage &amp; de Brito Capello 1864)","2"
"Cephaloscyllium variegatum","Last &amp; White, 2008","2"
"Chiloscyllium punctatum","Müller &amp; Henle, 1838","2"
"Hemitrygon fluviorum","(Ogilby, 1908)","2"
"Deania calcea","(Lowe, 1839)","2"
"Dentiraja australis","(Macleay, 1884)","2"
"Dentiraja cerva","(Whitley, 1939)","2"
"Dentiraja endeavouri","(Last, 2008)","2"
"Dipturus gudgeri","(Whitley 1940)","2"
"Hexanchus nakamurai","Teng, 1962","2"
"Myliobatis hamlyni","Ogilby, 1911","2"
"Neotrygon annotata","(Last, 1987)","2"
"Oxynotus bruniensis","(Ogilby 1893)","2"
"Squalus edmundsi","White, Last &amp; Stevens, 2007","2"
"Squalus grahami","White, Last &amp; Stevens, 2007","2"
"Squalus nasutus","Last, Marshall &amp; White, 2007","2"
"Trygonoptera testacea","Müller &amp; Henle, 1841","2"
"Urolophus kapalensis","Yearsley &amp; Last, 2006","2"
"Caracanthus typicus","Krøyer, 1845","2"
"Sebastapistes coniorta","Jenkins, 1903","2"
"Harpadon nehereus","(Hamilton, 1822)","2"
"Stegastes baldwini","Allen &amp; Woods, 1980","2"
"Pseudogramma axelrodi","Allen &amp; Robertson, 1995","2"
"Balistes vetula","Linnaeus, 1758","2"
"Epinephelus aeneus","(Geoffroy Saint-Hilaire, 1817)","2"
"Epinephelus andersoni","Boulenger, 1903","2"
"Epinephelus daemelii","(Günther, 1876)","2"
"Epinephelus goreensis","(Valenciennes, 1830)","2"
"Hyporthodus ergastularius","(Whitley, 1930)","2"
"Raja clavata","(Linnaeus, 1758)","2"
"Acroteriobatus zanzibarensis","(Norman, 1926)","2"
"Pseudobatos productus","(Ayres, 1854)","2"
"Hemitrygon longicauda","(Last &amp; White, 2013)","2"
"Hemitrygon akajei","(Müller &amp; Henle, 1841)","2"
"Hypanus americanus","(Hildebrand &amp; Schroeder, 1928)","2"
"Hypanus guttatus","(Bloch &amp; Schneider, 1801)","2"
"Neotrygon australiae","Last, White &amp; Séret, 2016","2"
"Acipenser oxyrinchus","Mitchill, 1815","2"
"Acroteriobatus salalah","(Randall &amp; Compagno, 1995)","2"
"Chiloscyllium arabicum","Gubanov, 1980","2"
"Rhinobatos punctifer","Compagno &amp; Randall, 1987","2"
"Pastinachus sephen","(Forsskål, 1775)","2"
"Brevitrygon walga","(Müller &amp; Henle, 1841)","2"
"Orbiraja jensenae","(Last &amp; Lim, 2010)","2"
"Squatina africana","Regan, 1908","2"
"Lophius vomerinus","Valenciennes, 1837","2"
"Ophidion fulvum","(Hildebrand &amp; Barton, 1949)","2"
"Hetereleotris georgegilli","Gill, 1998","2"
"Parupeneus porphyreus","(Jenkins, 1903)","2"
"Siganus uspi","Gawel &amp; Woodland, 1974","2"
"Squatina david","Acero P., Tavera, Anguila &amp; Hernández, 2016","2"
"Eviota indica","Lachner &amp; Karnella, 1980","2"
"Squalus rancureli","Fourmanoir &amp; Rivaton, 1979","2"
"Gymnogobius cylindricus","(Tomiyama, 1936)","2"
"Luciogobius ryukyuensis","Chen, Suzuki &amp; Senou, 2008","2"
"Parkraemeria saltator","Suzuki &amp; Senou, 2013","2"
"Scyliorhinus capensis","(Müller &amp; Henle, 1838)","2"
"Mustelus asterias","Cloquet, 1819","2"
"Atelomycterus marmoratus","(Anonymous [Bennett], 1830)","2"
"Sympterygia brevicaudata","(Cope, 1877)","2"
"Anacanthobatis marmorata","(von Bonde &amp; Swart, 1923)","2"
"Cephaloscyllium sufflans","(Regan, 1921)","2"
"Dipturus campbelli","(Wallace, 1967)","2"
"Urotrygon chilensis","(Günther, 1872)","2"
"Aculeola nigra","de Buen, 1959","2"
"Rhinoptera steindachneri","Evermann &amp; Jenkins, 1891","2"
"Neoharriotta carri","Bullis &amp; Carpenter, 1966","2"
"Neoharriotta pinnata","(Schnakenbeck, 1931)","2"
"Hydrolagus mitsukurii","(Jordan &amp; Snyder, 1904)","2"
"Chimaera ogilbyi","Waite, 1898","2"
"Chiloscyllium plagiosum","(Anonymous [Bennett], 1830)","2"
"Galeus atlanticus","(Vaillant, 1888)","2"
"Rostroraja cervigoni","(Bigelow &amp; Schroeder, 1964)","2"
"Urotrygon rogersi","(Jordan &amp; Starks, 1895)","2"
"Dipturus tengu","(Jordan &amp; Fowler, 1903)","2"
"Bathyraja spinicauda","(Jensen, 1914)","2"
"Dipturus gigas","(Ishiyama, 1958)","2"
"Taeniurops grabatus","(Geoffroy St. Hilaire, 1817)","2"
"Fontitrygon margaritella","(Compagno &amp; Roberts, 1984)","2"
"Orbiraja powelli","(Alcock, 1898)","2"
"Rhinoraja longicauda","Ishiyama, 1952","2"
"Raja straeleni","Poll, 1951","2"
"Pateobatis hortlei","(Last, Manjaji-Matsumoto &amp; Kailola, 2006)","2"
"Tetronarce formosa","(Haas &amp; Ebert, 2006)","2"
"Bathyraja smirnovi","(Soldatov &amp; Pavlenko, 1915)","2"
"Dasyatis chrysonota","(Smith, 1828)","2"
"Halaelurus maculosus","White, Last &amp; Stevens, 2007","2"
"Leucoraja leucosticta","(Stehmann, 1971)","2"
"Urotrygon aspidura","(Jordan &amp; Gilbert, 1882)","2"
"Bathyraja trachouros","(Ishiyama, 1958)","2"
"Cephaloscyllium umbratile","Jordan &amp; Fowler, 1903","2"
"Urotrygon munda","Gill, 1863","2"
"Dipturus macrocauda","(Ishiyama, 1955)","2"
"Centroscyllium excelsum","Shirai &amp; Nakaya, 1990","2"
"Squalus acutipinnis","Regan, 1908","2"
"Heteronarce garmani","Regan, 1921","2"
"Urotrygon nana","Miyake &amp; McEachran, 1988","2"
"Dasyatis marmorata","(Steindachner, 1892)","2"
"Gymnura marmorata","(Cooper, 1864)","2"
"Gymnura crebripunctata","(Peters, 1869)","2"
"Limia caymanensis","Rivas &amp; Fink, 1970","2"
"Sciaena umbra","Linnaeus, 1758","2"
"Pentheroscion mbizi","(Poll, 1950)","2"
"Percarina demidoffii","Nordmann, 1840","2"
"Bythaelurus hispidus","(Alcock, 1891)","2"
"Mustelus mosis","Hemprich &amp; Ehrenberg, 1899","2"
"Maculabatis ambigua","Last, Bogorodsky &amp; Alpermann, 2016","2"
"Sardinella lemuru","Bleeker, 1853","2"
"Tenualosa macrura","(Bleeker, 1852)","2"
"Anguilla australis","Richardson, 1841","2"
"Pseudopleuronectes yokohamae","(Günther, 1877)","2"
"Glyptocephalus kitaharae","(Jordan &amp; Starks, 1904)","2"
"Lutjanus analis","(Cuvier, 1828)","2"
"Pristiophorus lanae","Ebert &amp; Wilms, 2013","2"
"Atractoscion aequidens","(Cuvier, 1830)","2"
"Scoliodon macrorhynchos","(Bleeker, 1852)","2"
"Urotrygon cimar","López S. &amp; Bussing, 1998","2"
"Thunnus orientalis","(Temminck &amp; Schlegel, 1844)","2"
"Carcharhinus macloti","(Müller &amp; Henle, 1839)","2"
"Carcharhinus sorrah","(Müller &amp; Henle, 1839)","2"
"Loxodon macrorhinus","Müller &amp; Henle, 1839","2"
"Rhizoprionodon oligolinx","Springer, 1964","2"
"Scoliodon laticaudus","Müller &amp; Henle, 1838","2"
"Takifugu ocellatus","(Linnaeus, 1758)","2"
"Proscyllium magnificum","Last &amp; Vongpanich, 2004","2"
"Orectolobus leptolineatus","Last, Pogonoski &amp; White, 2010","2"
"Narcine baliensis","Carvalho &amp; White, 2016","2"
"Platyrhina psomadakisi","White &amp; Last, 2016","2"
"Anguilla bicolor","McClelland, 1844","2"
"Anguilla mossambica","(Peters, 1852)","2"
"Anguilla bengalensis","(Gray, 1831)","2"
"Squatina californica","Ayres, 1859","2"
"Zanobatus maculatus","Séret, 2016","2"
"Raja parva","Last &amp; Séret, 2016","2"
"Squalus boretzi","Dolganov, 2019","2"
"Hemiscyllium freycineti","(Quoy &amp; Gaimard, 1824)","2"
"Hemiscyllium halmahera","Allen, Erdmann &amp; Dudgeon, 2013","2"
"Bathyraja brachyurops","(Fowler, 1910)","2"
"Bathyraja macloviana","(Norman, 1937)","2"
"Centroscymnus coelolepis","Barbosa du Bocage &amp; de Brito Capello, 1864","2"
"Lamna nasus","(Bonnaterre, 1788)","3"
"Lutjanus cyanopterus","(Cuvier, 1828)","3"
"Sciades parkeri","(Traill, 1832)","3"
"Myliobatis goodei","Garman, 1885","3"
"Alopias superciliosus","Lowe, 1841","3"
"Pseudobatos lentiginosus","(Garman, 1880)","3"
"Verasper variegatus","(Temminck &amp; Schlegel, 1846)","3"
"Cheimerius matsubarai","Akazaki, 1962","3"
"Acanthopagrus vagus","Peters, 1852","3"
"Polysteganus praeorbitalis","(Günther, 1859)","3"
"Acanthopagrus sivicolus","Akazaki, 1962","3"
"Cymatoceps nasutus","(Castelnau, 1861)","3"
"Rhabdosargus globiceps","(Valenciennes, 1830)","3"
"Dentex dentex","(Linnaeus 1758)","3"
"Acanthurus chronixis","Randall, 1960","3"
"Enneanectes smithi","Lubbock &amp; Edwards, 1981","3"
"Scartella springeri","(Bauchot, 1967)","3"
"Scartella poiti","Rangel, Gasparini &amp; Guimarães, 2004","3"
"Scartella nuchifilis","(Valenciennes, 1836)","3"
"Psilotris boehlkei","Greenfield, 1993","3"
"Tigrigobius redimiculus","(Taylor &amp; Akins, 2007)","3"
"Coryphopterus thrix","Böhlke &amp; Robins, 1960","3"
"Coryphopterus eidolon","Böhlke &amp; Robins, 1960","3"
"Coryphopterus tortugae","(Jordan, 1904)","3"
"Coryphopterus venezuelae","Cervigón, 1966","3"
"Coryphopterus lipernes","Böhlke &amp; Robins, 1962","3"
"Coryphopterus personatus","(Jordan &amp; Thompson, 1905)","3"
"Coryphopterus alloides","Böhlke &amp; Robins, 1960","3"
"Elacatinus prochilos","(Böhlke &amp; Robins, 1968)","3"
"Gobiosoma hildebrandi","(Ginsburg, 1939)","3"
"Altrichthys curatus","Allen, 1999","3"
"Altrichthys azurelineatus","(Fowler &amp; Bean, 1928)","3"
"Amblyglyphidodon batunai","Allen, 1995","3"
"Amblyglyphidodon ternatensis","(Bleeker, 1853)","3"
"Rhomboplites aurorubens","(Cuvier, 1829)","3"
"Gobiodon axillaris","De Vis, 1884","3"
"Balistes punctatus","Gmelin, 1789","3"
"Canthigaster marquesensis","Allen &amp; Randall, 1977","3"
"Arothron inconditus","Smith, 1958","3"
"Albula glossodonta","(Forsskål, 1775)","3"
"Stenogobius keletaona","Keith &amp; Marquet, 2006","3"
"Fundulus jenkinsi","(Evermann, 1892)","3"
"Gobiomorphus hubbsi","(Stokell, 1959)","3"
"Cheimarrichthys fosteri","Haast, 1874","3"
"Alosa aestivalis","(Mitchill, 1814)","3"
"Acentrogobius griseus","(Day, 1876)","3"
"Cynoglossus macrostomus","Norman, 1928","3"
"Totoaba macdonaldi","(Gilbert, 1890)","3"
"Carcharhinus limbatus","(Müller &amp; Henle, 1839)","3"
"Carcharodon carcharias","(Linnaeus, 1758)","3"
"Notorynchus cepedianus","(Péron, 1807)","3"
"Alopias vulpinus","(Bonnaterre, 1788)","3"
"Carcharhinus brevipinna","(Müller &amp; Henle, 1839)","3"
"Carcharhinus leucas","(Müller &amp; Henle, 1839)","3"
"Negaprion brevirostris","(Poey, 1868)","3"
"Sphyrna zygaena","(Linnaeus, 1758)","3"
"Carcharhinus brachyurus","(Günther, 1870)","3"
"Benthobatis kreffti","Rincón, Stehmann &amp; Vooren, 2001","3"
"Galeus mincaronei","Soto, 2001","3"
"Schroederichthys saurisqualus","Soto, 2001","3"
"Rhinoptera brasiliensis","Müller, 1836","3"
"Dipturus leptocaudus","(Krefft &amp; Stehmann, 1975)","3"
"Gurgesiella dorsalifera","McEachran &amp; Compagno, 1980","3"
"Rhizoprionodon lalandii","(Müller &amp; Henle, 1839)","3"
"Rhinoptera bonasus","(Mitchill, 1815)","3"
"Ginglymostoma cirratum","(Bonnaterre, 1788)","3"
"Diplobatis picta","Palmer, 1950","3"
"Rhizoprionodon porosus","(Poey, 1861)","3"
"Dalatias licha","(Bonnaterre, 1788)","3"
"Callorhinchus callorynchus","(Linnaeus, 1758)","3"
"Rioraja agassizii","(Müller &amp; Henle, 1841)","3"
"Hydrolagus matallanasi","Soto &amp; Vooren, 2004","3"
"Bathytoshia centroura","(Mitchill, 1815)","3"
"Galaxias argenteus","(Gmelin, 1789)","3"
"Liosaccus pachygaster","(Müller &amp; Troschel, 1848)","3"
"Melanogrammus aeglefinus","(Linnaeus, 1758)","3"
"Latimeria menadoensis","Pouyaud, Wirjoatmodjo, Rachmatika, Tjakrawidjaja, Hadiaty &amp; Hadie, 1999","3"
"Ogilbia galapagosensis","(Poll &amp; LeLeup, 1965)","3"
"Gobiesox canidens","(Briggs, 1951)","3"
"Bathygobius lineatus","(Jenyns, 1841)","3"
"Callionymus comptus","Randall, 1999","3"
"Axoclinus multicinctus","Allen &amp; Robertson, 1992","3"
"Malacoctenus zonogaster","Heller &amp; Snodgrass, 1903","3"
"Aioliops brachypterus","Rennis &amp; Hoese, 1987","3"
"Lepidonectes corallicola","(Kendall &amp; Radcliffe, 1912)","3"
"Holacanthus clarionensis","Gilbert, 1890","3"
"Coregonus subautumnalis","Kaganowsky, 1932","3"
"Makaira nigricans","Lacepède, 1802","3"
"Kajikia albida","(Poey, 1860)","3"
"Plectranthias chungchowensis","Shen &amp; Lin, 1984","3"
"Myzopsetta ferruginea","(Storer, 1839)","3"
"Ecsenius kurti","Springer, 1988","3"
"Paradiancistrus cuyoensis","Schwarzhans, Møller &amp; Nielsen, 2005","3"
"Zebrias lucapensis","Seigel &amp; Adamson, 1985","3"
"Pangasius krempfi","Fang &amp; Chaux, 1949","3"
"Myxodagnus sagitta","Myers &amp; Wade, 1946","3"
"Tomicodon vermiculatus","Briggs, 1955","3"
"Daector schmitti","Collette, 1968","3"
"Xyrichtys victori","Wellington, 1992","3"
"Elacatinus nesiotes","Bussing, 1990","3"
"Chriolepis lepidota","Findley, 1975","3"
"Tomicodon absitus","Briggs, 1955","3"
"Labrisomus jenkinsi","(Heller &amp; Snodgrass, 1903)","3"
"Quassiremus evionthas","(Jordan &amp; Bollman, 1890)","3"
"Hypsoblennius proteus","(Krejsa, 1960)","3"
"Gillellus chathamensis","Dawson, 1977","3"
"Xenocys jessiae","Jordan &amp; Bollman, 1890","3"
"Eleotrica cableae","Ginsburg, 1933","3"
"Prionotus teaguei","Briggs, 1956","3"
"Lepidonectes bimaculatus","Allen &amp; Robertson, 1992","3"
"Halichoeres salmofasciatus","Allen &amp; Robertson, 2002","3"
"Stegastes beebei","(Nichols, 1924)","3"
"Thalassoma virens","Gilbert, 1890","3"
"Dactyloscopus lacteus","(Myers &amp; Wade, 1946)","3"
"Tomicodon bidens","Briggs, 1969","3"
"Paraclinus fehlmanni","Springer &amp; Trist, 1969","3"
"Halichoeres malpelo","Allen &amp; Robertson, 1992","3"
"Acanthemblemaria mangognatha","Hastings &amp; Robertson, 1999","3"
"Batrachoides boulengeri","Gilbert &amp; Starks, 1904","3"
"Arcos poecilophthalmus","(Jenyns, 1842)","3"
"Stegastes redemptus","(Heller &amp; Snodgrass, 1903)","3"
"Dialommus fuscus","Gilbert, 1891","3"
"Halichoeres discolor","Bussing, 1983","3"
"Acanthemblemaria atrata","Hastings &amp; Robertson, 1999","3"
"Axoclinus rubinoffi","Allen &amp; Robertson, 1992","3"
"Rypticus courtenayi","McCarthy 1979","3"
"Halichoeres insularis","Allen &amp; Robertson, 1992","3"
"Ogilbia cocoensis","Møller, Schwarzhans &amp; Nielsen, 2005","3"
"Xenichthys agassizii","Steindachner, 1876","3"
"Gillichthys seta","(Ginsburg, 1938)","3"
"Myripristis gildi","Greenfield, 1965","3"
"Halichoeres adustus","(Gilbert, 1890)","3"
"Lythrypnus gilberti","(Heller &amp; Snodgrass, 1903)","3"
"Chriolepis dialepta","Bussing, 1990","3"
"Platygillellus rubellulus","(Kendall &amp; Radcliffe, 1912)","3"
"Prionotus miles","Jenyns, 1840","3"
"Paraletharchus opercularis","(Myers &amp; Wade, 1941)","3"
"Serranus socorroensis","Allen &amp; Robertson, 1992","3"
"Starksia galapagensis","Rosenblatt &amp; Taylor, 1971","3"
"Axoclinus cocoensis","Bussing, 1991","3"
"Daector reticulata","(Günther, 1864)","3"
"Acanthemblemaria castroi","Stephens &amp; Hobson, 1966","3"
"Gobiesox woodsi","(Schultz, 1944)","3"
"Notarius cookei","(Acero P. &amp; Betancur-R., 2002)","3"
"Gobioclinus dendriticus","(Reid, 1935)","3"
"Lythrypnus insularis","Bussing, 1990","3"
"Stegastes leucorus","(Gilbert, 1892)","3"
"Acanthemblemaria stephensi","Rosenblatt &amp; McCosker, 1988","3"
"Labrisomus socorroensis","Hubbs, 1953","3"
"Chaenopsis schmitti","Böhlke, 1957","3"
"Gobiesox aethus","(Briggs, 1951)","3"
"Pseudochromis pesi","Lubbock, 1975","3"
"Coris bulbifrons","Randall &amp; Kuiter, 1982","3"
"Conniella apterygia","Allen, 1983","3"
"Tautoga onitis","(Linnaeus, 1758)","3"
"Bodianus scrofa","(Valenciennes, 1839)","3"
"Achoerodus gouldii","(Richardson, 1843)","3"
"Labrus viridis","Linnaeus, 1758","3"
"Paramyxine cheni","Shen &amp; Tao, 1975","3"
"Paramyxine fernholmi","Kuo, Huang &amp; Mok, 1994","3"
"Paramyxine nelsoni","Kuo, Huang &amp; Mok, 1994","3"
"Eptatretus longipinnis","Strahan, 1975","3"
"Myxine garmani","Jordan &amp; Snyder, 1901","3"
"Myxine sotoi","Mincarone, 2001","3"
"Salvelinus confluentus","(Suckley, 1859)","3"
"Scomberomorus concolor","(Lockington, 1879)","3"
"Anthias regalis","Randall &amp; Lubbock, 1981","3"
"Atherinomorus lineatus","(Günther, 1872)","3"
"Semicossyphus pulcher","(Ayres, 1854)","3"
"Gadus morhua","Linnaeus, 1758","3"
"Acipenser brevirostrum","Lesueur, 1818","3"
"Alosa immaculata","Bennett, 1835","3"
"Sardinella maderensis","(Lowe, 1838)","3"
"Sanopus greenfieldorum","Collette, 1983","3"
"Hippocampus kuda","Bleeker, 1852","3"
"Hippocampus trimaculatus","Leach, 1814","3"
"Bolbometopon muricatum","(Valenciennes, 1840)","3"
"Vladichthys gloverensis","(Greenfield &amp; Greenfield, 1973)","3"
"Lucifuga spelaeotes","Cohen &amp; Robins, 1970","3"
"Hippocampus erectus","Perry, 1810","3"
"Corcyrogobius lubbocki","Miller, 1988","3"
"Girella zonata","Günther, 1859","3"
"Gobius tetrophthalmus","Brito &amp; Miller, 2001","3"
"Aetobatus ocellatus","(Kuhl, 1823)","3"
"Mycteroperca fusca","(Lowe, 1838)","3"
"Pentanemus quinquarius","(Linnaeus, 1758)","3"
"Pseudupeneus prayensis","(Cuvier, 1829)","3"
"Trachurus trachurus","(Linnaeus, 1758)","3"
"Trachurus indicus","Nekrasov, 1966","3"
"Gobiodon reticulatus","Playfair, 1867","3"
"Hyporthodus niveatus","(Valenciennes, 1828)","3"
"Mycteroperca microlepis","(Goode &amp; Bean, 1879)","3"
"Thunnus obesus","(Lowe, 1839)","3"
"Epinephelus morio","(Valenciennes, 1828)","3"
"Hyporthodus flavolimbatus","(Poey, 1865)","3"
"Mycteroperca interstitialis","(Poey, 1860)","3"
"Cynoscion acoupa","(Lacepède, 1801)","3"
"Coryphopterus hyalinus","Böhlke &amp; Robins, 1962","3"
"Omobranchus mekranensis","(Regan, 1905)","3"
"Emblemariopsis pricei","Greenfield, 1975","3"
"Omobranchus smithi","(Rao, 1974)","3"
"Meiacanthus naevius","Smith-Vaniz, 1987","3"
"Parablennius serratolineatus","Bath &amp; Hutchins, 1986","3"
"Entomacrodus chapmani","Springer, 1967","3"
"Medusablennius chani","Springer, 1966","3"
"Ecsenius tigris","Springer, 1988","3"
"Oman ypsilon","Springer, 1985","3"
"Omobranchus aurosplendidus","(Richardson, 1846)","3"
"Dactyloscopus insulatus","Dawson, 1975","3"
"Omobranchus hikkaduwensis","Bath, 1983","3"
"Praealticus natalis","(Regan, 1909)","3"
"Ecsenius randalli","Springer, 1991","3"
"Ecsenius tricolor","Springer &amp; Allen, 2001","3"
"Parablennius lodosus","(Smith, 1959)","3"
"Mimoblennius lineathorax","Fricke, 1999","3"
"Leucoraja fullonica","(Linnaeus, 1758)","3"
"Raja maderensis","Lowe, 1838","3"
"Argyrosomus inodorus","Griffiths & Heemstra, 1995","3"
"Hippocampus histrix","Kaup, 1856","3"
"Hippocampus ingens","Girard, 1858","3"
"Hippocampus spinosissimus","Weber, 1913","3"
"Hippocampus barbouri","Jordan &amp; Richardson, 1908","3"
"Hippocampus mohnikei","Bleeker, 1853","3"
"Hippocampus algiricus","Kaup, 1856","3"
"Hippocampus kelloggi","Jordan &amp; Snyder, 1901","3"
"Hippocampus patagonicus","Piacentino &amp; Luzzatto, 2004","3"
"Carcharhinus melanopterus","(Quoy &amp; Gaimard, 1824)","3"
"Awaous commersoni","(Schneider, 1801)","3"
"Horadandia atukorali","Deraniyagala, 1943","3"
"Apletodon barbatus","Fricke, Wirtz &amp; Brito, 2010","3"
"Didogobius amicuscaridis","Schliewen &amp; Kovacic, 2008","3"
"Gorogobius stevcici","Kovacic &amp; Schliewen, 2008","3"
"Pseudocaranx chilensis","(Guichenot, 1848)","3"
"Gobiodon erythrospilus","Bleeker, 1875","3"
"Aetomylaeus nichofii","(Bloch &amp; Schneider, 1801)","3"
"Aptychotrema timorensis","Last, 2004","3"
"Brachaelurus colcloughi","Ogilby, 1908","3"
"Carcharhinus amblyrhynchoides","(Whitley, 1934)","3"
"Carcharhinus sealei","(Pietschmann, 1913)","3"
"Centrophorus moluccensis","Bleeker, 1860","3"
"Centroscymnus owstonii","Garman, 1906","3"
"Chimaera phantasma","Jordan &amp; Snyder, 1900","3"
"Deania quadrispinosa","(McCulloch, 1915)","3"
"Glyphis garricki","Compagno, White &amp; Last, 2008","3"
"Glyphis glyphis","(Müller &amp; Henle, 1839)","3"
"Hemipristis elongata","(Klunzinger, 1871)","3"
"Himantura leoparda","Manjaji-Matsumoto &amp; Last, 2008","3"
"Mobula alfredi","(Krefft, 1868)","3"
"Scymnodon plunketi","(Waite, 1910)","3"
"Rhizoprionodon acutus","(Rüppell, 1837)","3"
"Spiniraja whitleyi","(Iredale, 1938)","3"
"Squalus montalbani","Whitley, 1931","3"
"Squatina albipunctata","Last &amp; White, 2008","3"
"Taeniurops meyeni","(Müller &amp; Henle, 1841)","3"
"Urogymnus asperrimus","(Bloch &amp; Schneider,1801)","3"
"Urolophus bucculentus","Macleay, 1884","3"
"Urolophus sufflavus","Whitley, 1929","3"
"Urolophus viridis","McCulloch, 1916","3"
"Carcharhinus tjutjot","(Bleeker, 1852)","3"
"Hemiscyllium hallstromi","Whitley, 1967","3"
"Oxymonacanthus halli","Marshall, 1952","3"
"Hypanus dipterurus","(Jordan &amp; Gilbert, 1880)","3"
"Ophioblennius clippertonensis","Springer, 1962","3"
"Thalassoma robertsoni","Allen, 1995","3"
"Xyrichtys wellingtoni","Allen &amp; Robertson, 1995","3"
"Menidia colei","Hubbs, 1936","3"
"Fundulus grandissimus","Hubbs, 1936","3"
"Phallostethus dunckeri","Regan, 1913","3"
"Balistes capriscus","Gmelin, 1789","3"
"Mola mola","(Linnaeus, 1758)","3"
"Epinephelus albomarginatus","Boulenger, 1903","3"
"Mycteroperca olfax","(Jenyns, 1840)","3"
"Epinephelus marginatus","(Lowe, 1834)","3"
"Epinephelus fuscoguttatus","(Forsskål, 1775)","3"
"Epinephelus polyphekadion","(Bleeker, 1849)","3"
"Hyporthodus acanthistius","(Gilbert, 1892)","3"
"Epinephelus bruneus","Bloch, 1793","3"
"Opisthonema berlangai","Berry &amp; Barrett, 1963","3"
"Odontaspis ferox","(Risso, 1810)","3"
"Aetobatus laticeps","(Gill, 1865)","3"
"Aetobatus narutobiei","White, Furumitsu &amp; Yamaguchi, 2013","3"
"Bathytoshia lata","(Garman, 1880)","3"
"Telatrygon zugei","(Müller &amp; Henle, 1841)","3"
"Hemitrygon bennetti","(Müller &amp; Henle, 1841)","3"
"Fontitrygon margarita","(Günther, 1870)","3"
"Brevitrygon heterura","(Müller &amp; Henle, 1841)","3"
"Pateobatis fai","(Jordan &amp; Seale, 1906)","3"
"Halaelurus boesemani","Springer &amp; D'Aubrey, 1972","3"
"Brevitrygon imbricata","(Bloch &amp; Schneider, 1801)","3"
"Lates japonicus","Katayama &amp; Taki, 1984","3"
"Myripristis clarionensis","Gilbert, 1897","3"
"Nemipterus virgatus","(Houttuyn, 1782)","3"
"Pomatomus saltatrix","(Linnaeus, 1766)","3"
"Lutjanus campechanus","(Poey, 1860)","3"
"Cosmocampus balli","(Fowler, 1925)","3"
"Siganus niger","Woodland, 1990","3"
"Oxymonacanthus longirostris","(Bloch &amp; Schneider, 1801)","3"
"Scymnodon ringens","Barbosa du Bocage &amp; de Brito Capello, 1864","3"
"Telatrygon biasa","Last, White &amp; Naylor, 2016","3"
"Meiacanthus abruptus","Smith-Vaniz &amp; Allen, 2011","3"
"Plectropomus marisrubri","Randall &amp; Hoese, 1986","3"
"Prototroctes maraena","Günther, 1864","3"
"Glossogobius minutus","Geevarghese &amp; John, 1983","3"
"Gobiodon fulvus","Herre, 1927","3"
"Haploblepharus fuscus","Smith, 1950","3"
"Leptocharias smithii","(Müller &amp; Henle, 1839)","3"
"Scylliogaleus quecketti","Boulenger, 1902","3"
"Chiloscyllium indicum","(Gmelin, 1789)","3"
"Chiloscyllium griseum","Müller &amp; Henle, 1838","3"
"Hemigaleus microstoma","Bleeker, 1852","3"
"Oxynotus japonicus","Yano &amp; Murofushi, 1985","3"
"Centroscyllium granulatum","Günther, 1887","3"
"Mustelus dorsalis","Gill, 1864","3"
"Pseudobatos planiceps","(Garman, 1880)","3"
"Halaelurus natalensis","(Regan, 1904)","3"
"Galeus polli","Cadenat, 1959","3"
"Amblyraja frerichsi","(Krefft, 1968)","3"
"Urolophus aurantiacus","Müller &amp; Henle, 1841","3"
"Gymnura poecilura","(Shaw, 1804)","3"
"Dipturus crosnieri","(Séret, 1989)","3"
"Myliobatis chilensis","Philippi, 1892","3"
"Myliobatis longirostris","Applegate &amp; Fitch, 1964","3"
"Myliobatis peruvianus","Garman, 1913","3"
