"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"5529","Hypoplectrus gummigutta","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Poey, 1851)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1319999981,23
"5530","Hypoplectrus indigo","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Poey, 1851)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1425,24
"5531","Hypoplectrus guttavarius","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Poey, 1852)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,16.5
"5532","Hypoplectrus nigricans","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Poey, 1852)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1523999977,8
"5533","Hypoplectrus puella","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Cuvier, 1828)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1523999977,13
"5534","Hypoplectrus randallorum",NA,NA,NA,NA,"Lobel, 2011","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.0806000042,NA
"5535","Hypoplectrus unicolor","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Walbaum, 1792)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1269999981,NA
"5536","Liopropoma carmabi","Liopropoma","Serranidae","Perciformes","Teleostei","(Randall, 1963)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06,42.5
"5537","Liopropoma eukrines","Liopropoma","Serranidae","Perciformes","Teleostei","(Starck &amp; Courtenay, 1962)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,90
"5538","Liopropoma mowbrayi","Liopropoma","Serranidae","Perciformes","Teleostei","Woods &amp; Kanazawa, 1951","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.09,45
"5539","Liopropoma rubre","Liopropoma","Serranidae","Perciformes","Teleostei","Poey, 1861","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,24
"5540","Parasphyraenops atrimanus","Parasphyraenops","Serranidae","Perciformes","Teleostei","Bean, 1912","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08399999619,NA
"5541","Parasphyraenops incisus","Parasphyraenops","Serranidae","Perciformes","Teleostei","(Colin, 1978)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,45
"5542","Pronotogrammus martinicensis","Pronotogrammus","Serranidae","Perciformes","Teleostei","(Guichenot, 1868)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,147.5
"5543","Pseudogramma gregoryi","Pseudogramma","Serranidae","Perciformes","Teleostei","(Breder, 1927)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.075,31
"5544","Rypticus bistrispinus","Rypticus","Serranidae","Perciformes","Teleostei","(Mitchill, 1818)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,NA
"5545","Rypticus bornoi","Rypticus","Serranidae","Perciformes","Teleostei","Beebe &amp; Tee-Van, 1928","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06099999905,NA
"5546","Rypticus maculatus","Rypticus","Serranidae","Perciformes","Teleostei","Holbrook, 1855","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,NA
"5547","Rypticus randalli","Rypticus","Serranidae","Perciformes","Teleostei","Courtenay, 1967","1",NA,NA,NA,NA,NA,NA,143.8899994,"demersal",0.2039999962,NA
