"","db","query","class","order","family","genus"
"12717","itis","Apogon semiornatus","Teleostei","Perciformes","Apogonidae","Apogon"
"12718","itis","Apogon susanae","Teleostei","Perciformes","Apogonidae","Apogon"
"12719","itis","Apogon talboti","Teleostei","Perciformes","Apogonidae","Apogon"
"12720","itis","Apogon tricinctus",NA,NA,NA,NA
"12721","itis","Apogon unicolor","Teleostei","Perciformes","Apogonidae","Apogon"
"12722","itis","Apogonichthyoides atripes",NA,NA,NA,NA
"12723","itis","Apogonichthyoides brevicaudatus",NA,NA,NA,NA
"12724","itis","Apogonichthyoides cantoris",NA,NA,NA,NA
"12725","itis","Apogonichthyoides cathetogramma",NA,NA,NA,NA
"12726","itis","Apogonichthyoides chrysurus",NA,NA,NA,NA
"12727","itis","Apogonichthyoides erdmanni",NA,NA,NA,NA
"12728","itis","Apogonichthyoides euspilotus",NA,NA,NA,NA
"12729","itis","Apogonichthyoides gardineri",NA,NA,NA,NA
"12730","itis","Apogonichthyoides heptastygma",NA,NA,NA,NA
"12731","itis","Apogonichthyoides maculipinnis",NA,NA,NA,NA
"12732","itis","Apogonichthyoides melas",NA,NA,NA,NA
"12733","itis","Apogonichthyoides miniatus",NA,NA,NA,NA
"12734","itis","Apogonichthyoides niger",NA,NA,NA,NA
"12735","itis","Apogonichthyoides nigripinnis",NA,NA,NA,NA
"12736","itis","Apogonichthyoides opercularis",NA,NA,NA,NA
"12737","itis","Apogonichthyoides pseudotaeniatus",NA,NA,NA,NA
"12738","itis","Apogonichthyoides regani",NA,NA,NA,NA
"12739","itis","Apogonichthyoides sialis",NA,NA,NA,NA
"12740","itis","Apogonichthyoides timorensis",NA,NA,NA,NA
"12741","itis","Apogonichthyoides umbratilis",NA,NA,NA,NA
"12742","itis","Apogonichthyoides uninotatus",NA,NA,NA,NA
"12743","itis","Apogonichthys landoni","Teleostei","Perciformes","Apogonidae","Apogonichthys"
"12744","itis","Apogonichthys perdix","Teleostei","Perciformes","Apogonidae","Apogonichthys"
"12745","itis","Apolemichthys armitagei","Teleostei","Perciformes","Pomacanthidae","Apolemichthys"
"12746","itis","Apterichtus australis",NA,NA,NA,NA
"12747","itis","Apterichtus dunalailai",NA,NA,NA,NA
"12748","itis","Apterichtus flavicaudus","Teleostei","Anguilliformes","Ophichthidae","Apterichtus"
"12749","itis","Apterichtus hatookai",NA,NA,NA,NA
"12750","itis","Apterichtus jeffwilliamsi",NA,NA,NA,NA
"12751","itis","Apterichtus keramanus","Teleostei","Anguilliformes","Ophichthidae","Apterichtus"
"12752","itis","Apterichtus klazingai","Teleostei","Anguilliformes","Ophichthidae","Apterichtus"
"12753","itis","Apterichtus malabar",NA,NA,NA,NA
"12754","itis","Apterichtus moseri","Teleostei","Anguilliformes","Ophichthidae","Apterichtus"
"12755","itis","Apterichtus mysi",NA,NA,NA,NA
"12756","itis","Apterichtus nariculus",NA,NA,NA,NA
"12757","itis","Apterichtus orientalis","Teleostei","Anguilliformes","Ophichthidae","Apterichtus"
"12758","itis","Apterichtus soyoae",NA,NA,NA,NA
"12759","itis","Apterichtus succinus",NA,NA,NA,NA
"12760","itis","Archamia bleekeri","Teleostei","Perciformes","Apogonidae","Archamia"
"12761","itis","Archistes biseriatus","Teleostei","Scorpaeniformes","Cottidae","Archistes"
"12762","itis","Archistes plumarius","Teleostei","Scorpaeniformes","Cottidae","Archistes"
"12763","itis","Arcos poecilophthalmos","Teleostei","Perciformes","Gobiesocidae","Arcos"
"12764","itis","Arctogadus glacialis","Teleostei","Gadiformes","Gadidae","Arctogadus"
"12765","itis","Arctoscopus japonicus","Teleostei","Perciformes","Trichodontidae","Arctoscopus"
"12766","itis","Arctozenus australis",NA,NA,NA,NA
"12767","itis","Arenigobius bifrenatus","Teleostei","Perciformes","Gobiidae","Arenigobius"
"12768","itis","Arenigobius frenatus","Teleostei","Perciformes","Gobiidae","Arenigobius"
"12769","itis","Argentina australiae","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12770","itis","Argentina brasiliensis",NA,NA,NA,NA
"12771","itis","Argentina brucei","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12772","itis","Argentina elongata","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12773","itis","Argentina euchus","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12774","itis","Argentina kagoshimae","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12775","itis","Argentina silus","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12776","itis","Argentina stewarti","Teleostei","Osmeriformes","Argentinidae","Argentina"
"12777","itis","Argentinolycus elongatus",NA,NA,NA,NA
"12778","itis","Argyrocottus zanderi","Teleostei","Scorpaeniformes","Cottidae","Argyrocottus"
"12779","itis","Ariomma brevimanus","Teleostei","Perciformes","Ariommatidae","Ariomma"
"12780","itis","Ariomma indica","Teleostei","Perciformes","Ariommatidae","Ariomma"
"12781","itis","Ariomma lurida","Teleostei","Perciformes","Ariommatidae","Ariomma"
"12782","itis","Ariomma melana",NA,NA,NA,NA
"12783","itis","Ariomma parini","Teleostei","Perciformes","Ariommatidae","Ariomma"
"12784","itis","Ariopsis canteri",NA,NA,NA,NA
"12785","itis","Ariopsis jimenzi",NA,NA,NA,NA
"12786","itis","Ariosoma majus",NA,NA,NA,NA
"12787","itis","Arius arenarius","Teleostei","Siluriformes","Ariidae","Arius"
"12788","itis","Arius cous","Teleostei","Siluriformes","Ariidae","Arius"
"12789","itis","Arius gagora","Teleostei","Siluriformes","Ariidae","Arius"
"12790","itis","Arius leptonotacanthus","Teleostei","Siluriformes","Ariidae","Arius"
"12791","itis","Arius malabaricus","Teleostei","Siluriformes","Ariidae","Arius"
"12792","itis","Arius microcephalus","Teleostei","Siluriformes","Ariidae","Arius"
"12793","itis","Arius oetik","Teleostei","Siluriformes","Ariidae","Arius"
"12794","itis","Arius subrostratus","Teleostei","Siluriformes","Ariidae","Arius"
"12795","itis","Arius sumatranus","Teleostei","Siluriformes","Ariidae","Arius"
"12796","itis","Arnoglossus boops","Teleostei","Pleuronectiformes","Bothidae","Arnoglossus"
"12797","itis","Arothron gillbanksii",NA,NA,NA,NA
"12798","itis","Arothron multilineatus","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron"
"12799","itis","Arrhamphus krefftii",NA,NA,NA,NA
"12800","itis","Arripis georgiana",NA,NA,NA,NA
"12801","itis","Arripis truttacea","Teleostei","Perciformes","Arripidae","Arripis"
"12802","itis","Arripis xylabion","Teleostei","Perciformes","Arripidae","Arripis"
"12803","itis","Artediellina antilope","Teleostei","Scorpaeniformes","Cottidae","Artediellina"
"12804","itis","Artediellus aporosus","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12805","itis","Artediellus camchaticus","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12806","itis","Artediellus dydymovi","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12807","itis","Artediellus fuscimentus","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12808","itis","Artediellus gomojunovi","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12809","itis","Artediellus ingens","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12810","itis","Artediellus miacanthus","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12811","itis","Artediellus minor","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12812","itis","Artediellus neyelovi","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12813","itis","Artediellus ochotensis","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12814","itis","Artediellus pacificus","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12815","itis","Artediellus scaber","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12816","itis","Artediellus schmidti","Teleostei","Scorpaeniformes","Cottidae","Artediellus"
"12817","itis","Artedius corallinus","Teleostei","Scorpaeniformes","Cottidae","Artedius"
"12818","itis","Artedius lateralis","Teleostei","Scorpaeniformes","Cottidae","Artedius"
"12819","itis","Artedius notospilotus","Teleostei","Scorpaeniformes","Cottidae","Artedius"
"12820","itis","Ascelichthys rhodorus","Teleostei","Scorpaeniformes","Cottidae","Ascelichthys"
"12821","itis","Asemichthys taylori","Teleostei","Scorpaeniformes","Cottidae","Asemichthys"
"12822","itis","Askoldia variegata","Teleostei","Perciformes","Stichaeidae","Askoldia"
