"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"12872","Monolene antillarum","Monolene","Bothidae","Pleuronectiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1180000019,NA,"Not Evaluated"
"12873","Monolene asaedae","Monolene","Bothidae","Pleuronectiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,NA,"Not Evaluated"
"12874","Moringua abbreviata","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.33,NA,"Not Evaluated"
"12875","Moringua bicolor","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4,1.5,"Not Evaluated"
"12876","Moringua ferruginea","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.4,20.5,"Not Evaluated"
"12877","Moringua hawaiiensis","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.4540000153,NA,"Not Evaluated"
"12878","Moringua javanica","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.2,8.5,"Not Evaluated"
"12879","Moringua macrochir","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2,NA,"Not Evaluated"
"12880","Moringua microchir","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.47,11.5,"Not Evaluated"
"12881","Moringua penni","Moringua","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12882","Mugil curvidens","Mugil","Mugilidae","Mugiliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3429999924,2.5,"Not Evaluated"
"12883","Mugil galapagensis","Mugil","Mugilidae","Mugiliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4,NA,"Not Evaluated"
"12884","Mugil longicauda","Mugil","Mugilidae","Mugiliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12885","Mugil thoburni","Mugil","Mugilidae","Mugiliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.295,NA,"Not Evaluated"
"12886","Mugilogobius littoralis","Mugilogobius","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.055,NA,"Not Evaluated"
"12887","Mugilogobius platynotus","Mugilogobius","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06,NA,"Not Evaluated"
"12888","Mullus argentinae","Mullus","Mullidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,40,"Not Evaluated"
"12889","Muraena appendiculata","Muraena","Muraenidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12890","Muraenesox bagio","Muraenesox","Muraenesocidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,7100,"demersal",2,NA,"Not Evaluated"
"12891","Muraenesox yamaguchiensis","Muraenesox","Muraenesocidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA,"Not Evaluated"
"12892","Muraenichthys gymnopterus","Muraenichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,NA,"Not Evaluated"
"12893","Muraenichthys philippinensis","Muraenichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA,"Not Evaluated"
"12894","Muraenichthys schultzei","Muraenichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.24,10,"Not Evaluated"
"12895","Muraenichthys sibogae","Muraenichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.135,NA,"Not Evaluated"
"12896","Muraenichthys thompsoni","Muraenichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12897","Muraenolepis microps","Muraenolepis","Muraenolepididae","Gadiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.35,805,"Not Evaluated"
"12898","Muraenolepis orangiensis","Muraenolepis","Muraenolepididae","Gadiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.3,497.5,"Not Evaluated"
"12899","Myctophum brachygnathum","Myctophum","Myctophidae","Myctophiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Not Evaluated"
"12900","Myctophum indicum","Myctophum","Myctophidae","Myctophiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Not Evaluated"
"12901","Myctophum orientale","Myctophum","Myctophidae","Myctophiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Not Evaluated"
"12902","Nansenia indica","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1069999981,215,"Not Evaluated"
"12903","Nansenia macrolepis","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.2,NA,"Not Evaluated"
"12904","Nansenia obscura","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1522999954,245,"Not Evaluated"
"12905","Nansenia tenuicauda","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08399999619,164,"Not Evaluated"
"12906","Narcetes kamoharai","Narcetes","Alepocephalidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.34,946,"Not Evaluated"
"12907","Narcetes lloydi","Narcetes","Alepocephalidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.5,1033,"Not Evaluated"
"12908","Narcetes wonderi","Narcetes","Alepocephalidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Not Evaluated"
"12909","Neoglyphidodon bonang","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.135,10.5,"Not Evaluated"
"12910","Neoglyphidodon carlsoni","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,3,"Not Evaluated"
"12911","Neoglyphidodon crossi","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,6.5,"Not Evaluated"
"12912","Neoglyphidodon melas","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.18,6.5,"Not Evaluated"
"12913","Neoglyphidodon nigroris","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,12.5,"Not Evaluated"
"12914","Neoglyphidodon oxyodon","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,2,"Not Evaluated"
"12915","Neoglyphidodon polyacanthus","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.12,16,"Not Evaluated"
"12916","Neoglyphidodon thoracotaeniatus","Neoglyphidodon","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.135,27.5,"Not Evaluated"
"12917","Neosebastes bougainvillii","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,55,"Not Evaluated"
"12918","Neosebastes capricornis","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA,"Not Evaluated"
"12919","Neosebastes entaxis","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.19,16.5,"Not Evaluated"
"12920","Myersina lachneri","Myersina","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05,10.5,"Not Evaluated"
"12921","Myersina macrostoma","Myersina","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06,6,"Not Evaluated"
"12922","Myersina nigrivirgata","Myersina","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,11,"Not Evaluated"
"12923","Myersina papuanus","Myersina","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12924","Myersina pretoriusi","Myersina","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.075,NA,"Not Evaluated"
"12925","Myersina yangii","Myersina","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12926","Myoxocephalus aenaeus","Myoxocephalus","Cottidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,179,"Not Evaluated"
"12927","Myoxocephalus niger","Myoxocephalus","Cottidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.27,25,"Not Evaluated"
"12928","Myoxocephalus ochotensis","Myoxocephalus","Cottidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,20,"Not Evaluated"
"12929","Myrichthys colubrinus","Myrichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.97,17.5,"Not Evaluated"
"12930","Myrichthys magnificus","Myrichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.78,131.5,"Not Evaluated"
"12931","Myrichthys xysturus","Myrichthys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12932","Myripristis astakhovi","Myripristis","Holocentridae","Beryciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1210000038,11.5,"Not Evaluated"
"12933","Myripristis greenfieldi","Myripristis","Holocentridae","Beryciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1585000038,NA,"Not Evaluated"
"12934","Myripristis robusta","Myripristis","Holocentridae","Beryciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,39.5,"Not Evaluated"
"12935","Myripristis xanthacra","Myripristis","Holocentridae","Beryciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,9.5,"Not Evaluated"
"12936","Myroconger gracilis","Myroconger","Myrocongridae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,480,"Not Evaluated"
"12937","Myroconger prolixus","Myroconger","Myrocongridae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,270,"Not Evaluated"
"12938","Myrophis lepturus","Myrophis","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA,"Not Evaluated"
"12939","Myxine limosa","Myxine","Myxinidae","Myxiniformes","Myxini",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.51,540.5,"Not Evaluated"
"12940","Nalbantichthys elongatus","Nalbantichthys","Zoarcidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.135,410,"Not Evaluated"
"12941","Nansenia ahlstromi","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.095,377,"Not Evaluated"
"12942","Nansenia antarctica","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.22,2072.5,"Not Evaluated"
"12943","Nansenia ardesiaca","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2,406.5,"Not Evaluated"
"12944","Nansenia candida","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.2220000076,941.5,"Not Evaluated"
"12945","Nansenia crassa","Nansenia","Microstomatidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,432.5,"Not Evaluated"
"12946","Naso tergus","Naso","Acanthuridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3470000076,75,"Not Evaluated"
"12947","Nautichthys pribilovius","Nautichthys","Hemitripteridae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09,211,"Not Evaluated"
"12948","Nautichthys robustus","Nautichthys","Hemitripteridae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,36.5,"Not Evaluated"
"12949","Neamia notula","Neamia","Apogonidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,43.5,"Not Evaluated"
"12950","Neamia octospina","Neamia","Apogonidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07,4,"Not Evaluated"
"12951","Neatypus obliquus","Neatypus","Kyphosidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.22,NA,"Not Evaluated"
"12952","Nectoliparis pelagicus","Nectoliparis","Liparidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.065,1691.5,"Not Evaluated"
"12953","Neenchelys buitendijki","Neenchelys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,2.5,"Not Evaluated"
"12954","Neenchelys daedalus","Neenchelys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3420000076,128,"Not Evaluated"
"12955","Neenchelys microtretus","Neenchelys","Ophichthidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1829999924,NA,"Not Evaluated"
"12956","Nemadactylus douglasii","Nemadactylus","Cheilodactylidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,4000,"demersal",0.81,100,"Not Evaluated"
"12957","Nemadactylus gayi","Nemadactylus","Cheilodactylidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,190,"Not Evaluated"
"12958","Nemadactylus monodactylus","Nemadactylus","Cheilodactylidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.6,NA,"Not Evaluated"
"12959","Nemadactylus vemae","Nemadactylus","Cheilodactylidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA,"Not Evaluated"
"12960","Nemapteryx armiger","Nemapteryx","Ariidae","Siluriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.395,NA,"Not Evaluated"
"12961","Nemapteryx bleekeri","Nemapteryx","Ariidae","Siluriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,NA,"Not Evaluated"
"12962","Nemapteryx nenga","Nemapteryx","Ariidae","Siluriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA,"Not Evaluated"
"12963","Nematistius pectoralis","Nematistius","Nematistiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,51710,"demersal",1.63,NA,"Not Evaluated"
"12964","Nemichthys larseni","Nemichthys","Nemichthyidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",1.606999969,725,"Not Evaluated"
"12965","Nemipterus aurifilum","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.185,122,"Not Evaluated"
"12966","Nemipterus celebicus","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,65,"Not Evaluated"
"12967","Nemipterus isacanthus","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,125,"Not Evaluated"
"12968","Nemipterus mesoprion","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,67.5,"Not Evaluated"
"12969","Nemipterus nematopus","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.175,66,"Not Evaluated"
"12970","Nemipterus tambuloides","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.23,60,"Not Evaluated"
"12971","Nemipterus theodorei","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,214.5,"Not Evaluated"
"12972","Nemipterus thosaporni","Nemipterus","Nemipteridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.215,45,"Not Evaluated"
"12973","Neocentropogon aeglefinus","Neocentropogon","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.095,143.5,"Not Evaluated"
"12974","Neocentropogon affinis","Neocentropogon","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08300000191,128,"Not Evaluated"
"12975","Neocentropogon japonicus","Neocentropogon","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.135,NA,"Not Evaluated"
"12976","Neocentropogon mesedai","Neocentropogon","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.0646999979,341.5,"Not Evaluated"
"12977","Neocentropogon trimaculatus","Neocentropogon","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.81,214,"Not Evaluated"
"12978","Neoconger tuberculatus","Neoconger","Moringuidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12979","Neocyttus acanthorhynchus","Neocyttus","Oreosomatidae","Zeiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1519999981,845,"Not Evaluated"
"12980","Neocyttus helgae","Neocyttus","Oreosomatidae","Zeiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.305,1099,"Not Evaluated"
"12981","Neocyttus psilorhynchus","Neocyttus","Oreosomatidae","Zeiformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.2239999962,960,"Not Evaluated"
"12982","Neoditrema ransonnetii","Neoditrema","Embiotocidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,NA,"Not Evaluated"
"12983","Neolumpenus unocellatus","Neolumpenus","Stichaeidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12984","Neomerinthe amplisquamiceps","Neomerinthe","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1620000076,NA,"Not Evaluated"
"12985","Neomerinthe bauchotae","Neomerinthe","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1010000038,280,"Not Evaluated"
"12986","Neomerinthe pallidimacula","Neomerinthe","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"12987","Neomerinthe procurva","Neomerinthe","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07099999905,470,"Not Evaluated"
"12988","Neomyxus leuciscus","Neomyxus","Mugilidae","Mugiliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.46,2,"Not Evaluated"
"12989","Neopataecus waterhousii","Neopataecus","Pataecidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,NA,"Not Evaluated"
"12990","Neophrynichthys heterospilos","Neophrynichthys","Psychrolutidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,276,"Not Evaluated"
"12991","Neophrynichthys latus","Neophrynichthys","Psychrolutidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2154000092,83,"Not Evaluated"
"12992","Neopomacentrus anabatoides","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.105,8.5,"Not Evaluated"
"12993","Neopomacentrus azysron","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.075,6.5,"Not Evaluated"
"12994","Neopomacentrus cyanomos","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,17.5,"Not Evaluated"
"12995","Neopomacentrus fallax","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,NA,"Not Evaluated"
"12996","Neopomacentrus filamentosus","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,8.5,"Not Evaluated"
"12997","Neopomacentrus fuliginosus","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,5.5,"Not Evaluated"
"12998","Neopomacentrus metallicus","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06,6,"Not Evaluated"
"12999","Neopomacentrus miryae","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,13.5,"Not Evaluated"
"13000","Neopomacentrus nemurus","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,5.5,"Not Evaluated"
"13001","Neopomacentrus sindensis","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,5.5,"Not Evaluated"
"13002","Neopomacentrus violascens","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.075,15.5,"Not Evaluated"
"13003","Neopomacentrus xanthurus","Neopomacentrus","Pomacentridae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06,8,"Not Evaluated"
"13004","Neosalanx anderssoni","Neosalanx","Salangidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07900000095,NA,"Not Evaluated"
"13005","Neosalanx jordani","Neosalanx","Salangidae","Osmeriformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05800000191,NA,"Not Evaluated"
"13006","Neosebastes incisipinnis","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2210000038,265,"Not Evaluated"
"13007","Neosebastes johnsoni","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,204,"Not Evaluated"
"13008","Neosebastes longirostris","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1689999962,210,"Not Evaluated"
"13009","Neosebastes multisquamus","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Not Evaluated"
"13010","Neosebastes nigropunctatus","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.36,293,"Not Evaluated"
"13011","Neosebastes occidentalis","Neosebastes","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,142.5,"Not Evaluated"
"13012","Neovespicula depressifrons","Neovespicula","Scorpaenidae","Scorpaeniformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA,"Not Evaluated"
"13013","Neozoarces pulcher","Neozoarces","Stichaeidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.16,7,"Not Evaluated"
"13014","Nesogobius pulchellus","Nesogobius","Gobiidae","Perciformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07,NA,"Not Evaluated"
"13015","Nettastoma falcinaris","Nettastoma","Nettastomatidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA,"Not Evaluated"
"13016","Nettastoma solitarium","Nettastoma","Nettastomatidae","Anguilliformes","Teleostei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.465,512.5,"Not Evaluated"
