"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"84","Arothron leopardus","Arothron","Tetraodontidae","Tetraodontiformes","Teleostei","(Day, 1878)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"85","Acanthostracion notacanthus","Acanthostracion","Ostraciidae","Tetraodontiformes","Teleostei","(Bleeker, 1863)","dd",0.1,0,1.08333,1,NA,NA,NA,"demersal",0.5,NA,"Data Deficient"
"86","Canthigaster punctata","Canthigaster","Tetraodontidae","Tetraodontiformes","Teleostei","Matsuura, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA,"Data Deficient"
"87","Takifugu basilevskianus","Takifugu","Tetraodontidae","Tetraodontiformes","Teleostei","Basilewsky, 1855","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA,"Data Deficient"
"88","Takifugu pseudommus","Takifugu","Tetraodontidae","Tetraodontiformes","Teleostei","(Chu, 1935)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,NA,"Data Deficient"
"89","Pterothrissus gissu","Pterothrissus","Albulidae","Albuliformes","Teleostei","Hilgendorf, 1877","dd",1.7,6.8,4.065,4,NA,3.3,NA,"benthopelagic",0.5,NA,"Data Deficient"
"90","Elops hawaiensis","Elops","Elopidae","Elopiformes","Teleostei","Regan, 1909","dd",NA,NA,NA,NA,NA,NA,10060,"pelagic-neritic",1.2,15.5,"Data Deficient"
"91","Lutjanus agennes","Lutjanus","Lutjanidae","Perciformes","Teleostei","Bleeker, 1863","dd",NA,NA,NA,NA,NA,NA,60000,"reef-associated",1.39,NA,"Data Deficient"
"92","Paracaesio waltervadi","Paracaesio","Lutjanidae","Perciformes","Teleostei","Anderson &amp; Collette, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4290000153,29,"Data Deficient"
"93","Ocyurus chrysurus","Ocyurus","Lutjanidae","Perciformes","Teleostei","(Bloch, 1791)","dd",5.2,22,65.61,91,NA,4,4070,"reef-associated",0.863,NA,"Data Deficient"
"94","Lutjanus goreensis","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1830)","dd",3.4,15.1,19.0167,30,NA,4,NA,"reef-associated",0.8,NA,"Data Deficient"
"95","Lutjanus endecacanthus","Lutjanus","Lutjanidae","Perciformes","Teleostei","Bleeker, 1863","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.85,17.5,"Data Deficient"
"96","Lutjanus dentatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Dum<e9>ril, 1861)","dd",NA,NA,NA,NA,NA,NA,50000,"reef-associated",1.5,NA,"Data Deficient"
"97","Paracaesio paragrapsimodon","Paracaesio","Lutjanidae","Perciformes","Teleostei","Anderson &amp; Kailola, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.275,NA,"Data Deficient"
"98","Anisotremus surinamensis","Anisotremus","Haemulidae","Perciformes","Teleostei","(Bloch, 1791)","dd",4.3,19.1,66.4191,69,NA,3.2,5780,"reef-associated",0.76,NA,"Data Deficient"
"99","Parakuhlia macrophthalmus","Parakuhlia","Haemulidae","Perciformes","Teleostei","(Os<f3>rio, 1893)","dd",1.6,5.5,2.13222,2,NA,NA,NA,"demersal",0.2,NA,"Data Deficient"
"100","Plectorhinchus chubbi","Plectorhinchus","Haemulidae","Perciformes","Teleostei","(Regan, 1919)","dd",NA,NA,NA,NA,NA,NA,5000,"reef-associated",0.75,NA,"Data Deficient"
"101","Plectorhinchus mediterraneus","Plectorhinchus","Haemulidae","Perciformes","Teleostei","(Guichenot, 1850)","dd",3.7,16.2,59.09,31,"carnivorous",3.5,7920,"demersal",0.55,27.5,"Data Deficient"
"102","Salilota australis","Salilota","Moridae","Gadiformes","Teleostei","(G<fc>nther, 1878)","dd",2.3,9.2,50.14997,68,NA,4.4,NA,"demersal",0.5,NA,"Data Deficient"
"103","Patagonotothen ramsayi","Patagonotothen","Nototheniidae","Perciformes","Teleostei","(Regan, 1913)","dd",2.5,10.2,39.4986,39,NA,3.5,NA,"benthopelagic",0.44,NA,"Data Deficient"
"104","Chlopsis dentatus","Chlopsis","Chlopsidae","Anguilliformes","Teleostei","(Seale, 1917)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1989999962,209.5,"Data Deficient"
"105","Enchelycore nycturanus","Enchelycore","Muraenidae","Anguilliformes","Teleostei","Smith, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2229999924,NA,"Data Deficient"
"106","Gymnothorax austrinus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; McCosker, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"107","Gymnothorax bacalladoi","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; Brito, 1987","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3470000076,310.5,"Data Deficient"
"108","Gymnothorax polyspondylus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; Randall, 2000","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,190,"Data Deficient"
"109","Gymnothorax prolatus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Sasaki &amp; Amaoka, 1991","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3704999924,NA,"Data Deficient"
"110","Gymnothorax randalli","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Smith &amp; B<f6>hlke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"111","Gymnothorax sagmacephalus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5340000153,NA,"Data Deficient"
"112","Gymnothorax sokotrensis","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Kotthaus, 1968","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
