date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Perciformes,Carangidae,Trachinotus cayennensis,0.6,2,8.4,4.95778,7,NA
2013-02-01,fph,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon robustus,0.145,0.9,2.7,32.76,38,NA
2013-02-01,fph,Actinopterygii,Perciformes,Acanthuridae,Acanthurus nigricans,0.213,2.9,10,55.8109,238,2
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Abudefduf bengalensis,0.17,2,6.7,59.97,111,3.1
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Amblyglyphidodon curacao,0.11,1.5,4.5,49.3385,84,2.6
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Amblyglyphidodon leucogaster,0.13,1.6,5.3,61.5833,155,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Chromis atripectoralis,0.12,1.5,4.8,53.48,179,3.1
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Chromis nitida,0.07,1.2,3.5,22.3757,30,2.7
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Chromis viridis,0.08,1.2,3.3,60.1,316,2.5
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera flavipinnis,0.08,1.2,3.3,15.6167,16,2.7
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera rollandi,0.075,1.1,3.1,38.6481,82,2.7
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus nagasakiensis,0.1,1.3,4.1,48.6206,70,2.3
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus nigromarginatus,0.08,1.2,3.3,41.73,61,2.6
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus pavo,0.085,1.4,4.2,54.16,177,3
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus wardi,0.08,1.9,5.4,24.73,50,2
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Chromis notata,0.17,2,6.7,61.4833,87,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Dascyllus trimaculatus,0.11,1.7,5.4,64.12,206,2.8
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Dischistodus perspicillatus,0.18,2.1,7,43.923,77,2
2013-02-01,fph,Actinopterygii,Clupeiformes,Clupeidae,Alosa chrysochloris,0.5,2.9,11.9,13.5503,18,3.9
2013-02-01,fph,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys pacificus,0.34,2.4,8.3,51.203,71,3.2
